Dataset,Model,Sampling,Accuracy Mean,Accuracy SD,Precision Mean,Precision SD,Recall Mean,Recall SD,F1 Mean,F1 SD,AUC Mean,AUC SD
KC1,Logistic Regression,Original,0.8563281426314602,0.008780735762247577,0.6235875235875236,0.09642714050549024,0.1990530303030303,0.03506039407625604,0.29858100835458934,0.04182930747791997,0.803902102437976,0.03572181871069118
KC2,Logistic Regression,Original,0.843033381712627,0.037487389596802874,0.7173015873015873,0.15508098973982856,0.4045454545454545,0.09414688716912717,0.5126633986928104,0.11059738625630182,0.8415370605004752,0.07588037851003532
PC1,Logistic Regression,Original,0.9287633087633088,0.014221486418822373,0.45,0.45825756949558405,0.10357142857142856,0.09968061240680617,0.1622222222222222,0.15769951110409042,0.8458924570575055,0.05193301744273611
CM1,Logistic Regression,Original,0.8895918367346939,0.018234668181748178,0.15,0.32015621187164245,0.04,0.08,0.06190476190476191,0.12426655572095131,0.7994949494949495,0.10211668604902796
JM1,Logistic Regression,Original,0.8452740692312986,0.00163390240726979,0.5902371879648921,0.03332140995335882,0.09366960054163846,0.007897864007365567,0.1615742135299711,0.012433609235716403,0.7227955676992794,0.022429285848342514
KC1,Logistic Regression,ROS,0.7254682915820357,0.031057761494232946,0.32630688886124826,0.03540975837266943,0.7144886363636365,0.05068411477901185,0.4472064460852126,0.038895171948930225,0.8049770030985899,0.03686953344792713
KC2,Logistic Regression,ROS,0.7742017416545718,0.05744830923254668,0.4717441833192607,0.0808136045809066,0.6945454545454546,0.15825494652355596,0.556444582459575,0.09535440026756484,0.8390151515151514,0.07573001141963626
PC1,Logistic Regression,ROS,0.7917117117117117,0.04073985040579755,0.21923278190925727,0.06168006646932956,0.7410714285714286,0.12403967847723041,0.33608010010486794,0.08065331182271172,0.8473714392403713,0.05769275039562461
CM1,Logistic Regression,ROS,0.783387755102041,0.053714983557280674,0.27892193590723,0.09872505406992706,0.715,0.22141589825484528,0.3965316374372102,0.1230394555251507,0.7954141414141415,0.10892557804713622
JM1,Logistic Regression,ROS,0.7160691510104833,0.010879239348598387,0.3034486687742288,0.015591859568337389,0.6043150530354321,0.0410076201613112,0.40385357418576184,0.021560133183911867,0.7251929075558656,0.02235388849475571
KC1,Logistic Regression,RUS,0.7259444820582261,0.03255014202917324,0.3227758335968616,0.04053469210020021,0.6928030303030304,0.07706983725199884,0.43954298921808566,0.04922795559528538,0.7965169008917242,0.031129854387184772
KC2,Logistic Regression,RUS,0.7932873730043541,0.051164203860781646,0.4995135063594816,0.0805674835763762,0.7790909090909091,0.1676305461424021,0.6032985175743797,0.10386662769379065,0.8414562876148242,0.07709242968282813
PC1,Logistic Regression,RUS,0.7809009009009009,0.04198778137262561,0.20041140330080226,0.055248169408074706,0.6982142857142858,0.18821293032854342,0.3083361235107769,0.07662172745886861,0.830566520857783,0.059274461232870064
CM1,Logistic Regression,RUS,0.735265306122449,0.059096684840186875,0.23444566355557067,0.08710698266690796,0.715,0.2387990787251911,0.34822706498867484,0.11328352466644359,0.8011414141414142,0.09535383549430589
JM1,Logistic Regression,RUS,0.7155386185855528,0.011670916330980274,0.30165997372136916,0.01848306115509807,0.5981336041525613,0.043764710630117346,0.40093676423996866,0.025335186728051684,0.7244042144026659,0.022243050074134088
KC1,Logistic Regression,SMOTE,0.7245181674565561,0.0354610065502571,0.32490573694509195,0.04305538112444146,0.7053977272727273,0.05891407410199777,0.4437008650144598,0.045755565345908106,0.8049168270410464,0.037485401294794066
KC2,Logistic Regression,SMOTE,0.7837082728592163,0.04512465155043856,0.48344106996785696,0.06392588621434496,0.7309090909090908,0.15098574176019416,0.5778339999001433,0.08478502111928521,0.8402600042234187,0.07455785103695993
PC1,Logistic Regression,SMOTE,0.7908190008190008,0.04618317151479995,0.2182111528822055,0.06507769333625256,0.7285714285714285,0.11594773629105662,0.3332492200467583,0.08437556277917709,0.8415902059105942,0.06046870549796396
CM1,Logistic Regression,SMOTE,0.7833469387755102,0.046431258051893756,0.26411047286047284,0.0931737691816615,0.675,0.23796008068581587,0.37800862450243256,0.1301561666005618,0.7900909090909091,0.12110001928972694
JM1,Logistic Regression,SMOTE,0.7134185534374785,0.011217220212331522,0.29984677614715877,0.015543636543159068,0.5990747009704356,0.04578602005828242,0.39940674872416687,0.022147051940129527,0.723081037357702,0.023344786527933672
KC1,Random Forest,Original,0.8620153464229293,0.008927149460912706,0.6079830257461836,0.06931026027785912,0.32471590909090914,0.07926136363636363,0.4161116554680889,0.06366181072468569,0.8291790068153763,0.03788475373048882
KC2,Random Forest,Original,0.8163280116110305,0.0467452704856137,0.6068376068376069,0.17868112844732484,0.4409090909090908,0.09065874621051632,0.49861111111111117,0.09559315807669097,0.8126789673740895,0.0913811577137104
PC1,Random Forest,Original,0.9386977886977886,0.021212002630590095,0.6399999999999999,0.3595676416043147,0.28928571428571426,0.20009564039759198,0.3741158841158841,0.23105129586853687,0.836777179131548,0.07623901979498476
CM1,Random Forest,Original,0.8896326530612244,0.012910095039768693,0.05,0.15000000000000002,0.02,0.06,0.02857142857142857,0.0857142857142857,0.7315151515151516,0.11456632272097213
JM1,Random Forest,Original,0.8535276305828919,0.007741473148544054,0.6140528078196624,0.07071450909900263,0.21586323628977655,0.027041258965826914,0.31930089593301025,0.038653304295686905,0.8113286055791805,0.01592721552245228
KC1,Random Forest,ROS,0.8411532385466035,0.016073618845603432,0.49220122584998593,0.056582329620935866,0.4137310606060606,0.06653828515448347,0.4443977732865223,0.04262006637534431,0.8055107100721293,0.03513011024308614
KC2,Random Forest,ROS,0.7836719883889696,0.035430368531231805,0.4772924379542026,0.06851689555080204,0.5236363636363636,0.11896245674876792,0.49456693996739765,0.08276833500884091,0.7909837926301341,0.0889991454101408
PC1,Random Forest,ROS,0.9296805896805898,0.014914281509739682,0.5349206349206349,0.30666568076347483,0.27321428571428574,0.18848381352037546,0.32194005341064164,0.18238861183802532,0.8589385735623599,0.08403095829463157
CM1,Random Forest,ROS,0.869469387755102,0.02723877482213386,0.12,0.198997487421324,0.06000000000000001,0.09165151389911681,0.07714285714285714,0.11989791576204162,0.7268383838383838,0.14069538879914986
JM1,Random Forest,ROS,0.842393503544147,0.01151512849192424,0.5085193665673079,0.05899506175556072,0.32900022568269016,0.04449277543157997,0.3987639882075368,0.048025679389652506,0.8026158667038729,0.012250721111042981
KC1,Random Forest,RUS,0.7036402617919206,0.03382781029487404,0.30724401610715596,0.04067443515141653,0.7258522727272727,0.1060193795009904,0.4307699749725197,0.05498108192054653,0.8009099537089875,0.04201781845649466
KC2,Random Forest,RUS,0.7664731494920175,0.04311266947583894,0.4591356107660455,0.06284954059795958,0.7581818181818182,0.16308999695701148,0.5668226238955182,0.08534327109119695,0.8131731073804245,0.10094218438102429
PC1,Random Forest,RUS,0.751122031122031,0.030238876686874666,0.18586235993256867,0.03326593236658231,0.7642857142857143,0.15867757065373617,0.2977274918064391,0.05307202557477372,0.8279059532700309,0.07735935528355438
CM1,Random Forest,RUS,0.6627755102040818,0.029357013399443587,0.18410794093658542,0.043050924239097316,0.73,0.22825424421026655,0.29329518773454694,0.07284134088656959,0.728939393939394,0.1251896001108751
JM1,Random Forest,RUS,0.6848675246025738,0.009371572589529985,0.29248074476540603,0.010397109201340213,0.6899277815391559,0.03806655041718607,0.410675610852151,0.015912627195049503,0.7603565583552445,0.018849596930375533
KC1,Random Forest,SMOTE,0.8340352064996616,0.02451280659499139,0.47614965283534405,0.07496202046735703,0.48721590909090906,0.07425987590574246,0.47597444235086694,0.04981123768164728,0.8340069859745531,0.03162797885964638
KC2,Random Forest,SMOTE,0.7893686502177069,0.03475145019489995,0.4862476412476412,0.07037692412424808,0.5890909090909091,0.1392304706841938,0.5290829380514537,0.09279928693508901,0.8091117622215183,0.0894243974535139
PC1,Random Forest,SMOTE,0.9170434070434069,0.018805601760695182,0.4083513708513709,0.1335920605131423,0.37321428571428567,0.17739792983629793,0.37074929456508404,0.14990137170346673,0.873155606529393,0.05631166937770126
CM1,Random Forest,SMOTE,0.8253469387755101,0.026659311077720876,0.08607142857142858,0.11210474784680584,0.12000000000000002,0.16,0.09948717948717949,0.13056696272573726,0.7232020202020203,0.09277283766396095
JM1,Random Forest,SMOTE,0.8461816690753103,0.008199745045601241,0.5220908552842146,0.035476140299195505,0.3908372827804108,0.03969887075743284,0.44667410199656404,0.038060870172007315,0.8109563411207633,0.013575462349193698
